gameid,usd,eur,gbp,jpy,rub,date_acquired
749347,10.39,10.39,7.99,1408.0,929.0,2025-02-22
749281,1.49,1.49,1.19,220.0,,2025-02-22
749839,14.99,14.99,11.99,2310.0,1069.0,2025-02-22
749280,1.49,1.49,1.19,220.0,,2025-02-22
749375,0.99,0.49,0.39,165.0,71.0,2025-02-22
749636,5.99,5.99,4.99,700.0,429.0,2025-02-22
749282,1.49,1.49,1.19,220.0,,2025-02-22
749341,0.99,0.49,0.39,165.0,71.0,2025-02-22
749865,5.99,5.99,4.99,700.0,429.0,2025-02-22
749097,1.49,1.49,1.19,220.0,,2025-02-22
747765,1.99,1.99,1.69,330.0,142.0,2025-02-22
747764,1.99,1.99,1.69,330.0,142.0,2025-02-22
749095,1.49,1.49,1.19,220.0,,2025-02-22
749279,1.49,1.49,1.19,220.0,,2025-02-22
747763,1.99,1.99,1.69,330.0,142.0,2025-02-22
749891,,,,8580.0,,2025-02-22
745330,1.99,1.99,1.69,330.0,142.0,2025-02-22
745671,3.49,3.49,2.89,550.0,,2025-02-22
745453,15.99,17.99,14.99,,,2025-02-22
746306,,,,,,2025-02-22
745840,14.99,14.99,11.99,2310.0,,2025-02-22
744193,1.49,1.49,1.19,220.0,,2025-02-22
746216,,,,,,2025-02-22
744562,4.99,4.99,3.99,770.0,,2025-02-22
746215,,,,,,2025-02-22
744192,1.49,1.49,1.19,220.0,,2025-02-22
745093,14.99,14.99,11.99,,,2025-02-22
745331,1.99,1.99,1.69,330.0,142.0,2025-02-22
749407,3.99,3.99,3.29,660.0,285.0,2025-02-22
749170,14.99,14.99,11.99,2200.0,,2025-02-22
749302,29.99,24.99,24.99,,,2025-02-22
749237,3.59,3.59,2.99,528.0,429.0,2025-02-22
749591,3.24,2.99,2.49,440.0,429.0,2025-02-22
746253,3.49,4.99,3.99,539.0,,2025-02-22
746067,59.99,69.99,59.99,,,2025-02-22
749385,3.99,3.99,3.29,660.0,285.0,2025-02-22
745544,10.99,9.99,7.99,1650.0,719.0,2025-02-22
749075,4.99,4.99,3.99,770.0,,2025-02-22
745371,4.99,4.49,3.69,660.0,,2025-02-22
745370,4.99,4.49,3.69,660.0,,2025-02-22
746144,24.99,24.99,19.99,2860.0,1789.0,2025-02-22
745787,19.99,19.99,15.99,2310.0,,2025-02-22
746288,12.99,,9.49,,,2025-02-22
744643,27.99,27.99,23.19,,2499.0,2025-02-22
751968,0.99,0.99,0.79,165.0,,2025-02-22
751088,1.99,1.99,1.69,330.0,,2025-02-22
744994,2.79,3.99,1.99,660.0,285.0,2025-02-22
751831,0.99,0.99,0.79,165.0,71.0,2025-02-22
745216,4.99,4.49,3.69,660.0,,2025-02-22
751846,0.99,0.99,0.79,165.0,71.0,2025-02-22
745217,4.99,4.49,3.69,660.0,,2025-02-22
751830,0.99,0.99,0.79,165.0,71.0,2025-02-22
750850,2.99,2.99,2.49,440.0,,2025-02-22
751795,,,,8580.0,,2025-02-22
750659,14.99,14.99,11.99,2310.0,1069.0,2025-02-22
750522,17.99,17.99,14.99,,2149.0,2025-02-22
750969,9.99,9.99,7.99,990.0,,2025-02-22
750511,9.99,9.99,7.99,1650.0,719.0,2025-02-22
750177,8.74,8.74,6.85,,894.0,2025-02-22
750028,8.74,8.74,6.85,1000.0,894.0,2025-02-22
750176,8.74,8.74,6.85,,894.0,2025-02-22
750064,2.99,2.99,2.49,440.0,,2025-02-22
747890,,,,,,2025-02-22
750999,5.24,7.99,6.49,,,2025-02-22
750062,2.99,1.49,1.24,440.0,,2025-02-22
750061,2.49,1.24,0.99,330.0,,2025-02-22
747893,6.99,6.99,5.79,1100.0,,2025-02-22
747766,1.99,1.99,1.69,330.0,142.0,2025-02-22
747980,1.99,1.99,1.69,330.0,142.0,2025-02-22
747777,4.99,4.99,3.99,770.0,,2025-02-22
747981,1.99,1.99,1.69,330.0,142.0,2025-02-22
747994,4.99,4.99,3.99,598.0,359.0,2025-02-22
747998,9.99,9.99,7.99,1320.0,,2025-02-22
744407,0.99,0.49,0.39,,,2025-02-22
744419,,,,,,2025-02-22
747873,,,,,,2025-02-22
751953,1.99,1.99,1.69,275.0,142.0,2025-02-22
744404,2.39,2.99,2.49,,,2025-02-22
588945,29.99,29.99,24.99,4290.0,,2025-02-22
751950,1.99,1.99,1.69,275.0,,2025-02-22
590500,,,,,,2025-02-22
588871,,,,5479.0,,2025-02-22
750690,5.99,2.99,2.49,,,2025-02-22
747989,24.99,24.99,19.99,,1789.0,2025-02-22
747960,4.99,4.99,3.99,660.0,,2025-02-22
