gameid,title,developers,publishers,genres,supported_languages,release_date
3281560,Horror Game To Play With Friends! Playtest,,,,,2024-10-21
3280930,Eternals' Path Playtest,,,,,2024-10-17
3280770,ANGST: A TALE OF SURVIVAL - Singleplayer Playtest,,,,,2024-10-13
3279790,Montabi Playtest,,,,,2024-10-13
3278320,파이팅걸 유리 Playtest,,,,,2024-10-12
3278740,NEURO,['Revolt Games'],['Strategy First'],['Action'],"['English', 'Russian']",2024-10-11
3277430,Objective: F.E.A.S.T. Playtest,,,,,2024-10-12
3276500,Fortune Avenue Playtest,,,,,2024-10-09
3274370,Beyond the Ordinary Playtest,,,,,2024-10-11
3274670,Quantum Joe Playtest,,,,,2024-10-11
3270850,Keep Your Eyes Open,['Texerikus'],['Texerikus'],['Indie'],['English'],2024-10-21
3271040,Fission Playtest,,,,,2024-10-16
3270450,Cursed Companions Playtest,,,,,2024-10-19
3269910,勇者村庄 Playtest,,,,,2024-10-06
3268170,Hat Helpers Playtest,,,,,2024-10-07
3267350,Tiny Shooters,['madilumar'],['Thetinyverse'],"['Action', 'Free To Play']",['English'],2024-10-19
3266750,Astoaria Playtest,,,,,2024-10-04
3266470,Futanari Sex Adventures - Episode 5,['EroticGamesClub'],['EroticGamesClub'],"['Adventure', 'Casual', 'Indie']",['English'],2024-10-17
3266060,Creatures Of War Playtest,,,,,2024-10-14
3264280,Vampire Rancher Playtest,,,,,2024-10-10
3264110,AUTO_BATTLER_RPG,['Kadragon Games'],['Kadragon Games'],"['Casual', 'RPG']",['English'],2024-10-22
3263360,Creatures After Calamity Playtest,,,,,2024-10-04
3263370,FART BUBBLE DX,['かべろくん'],['かべろくん'],['Casual'],"['English', 'Japanese']",2024-10-21
3263450,Dear My Friend - 我的挚友 Playtest,,,,,2024-10-07
3263470,7 Days Playtest,,,,,2024-10-08
3263590,Mazzle Halloween,['Blender Games'],['Blender Games'],"['Casual', 'Indie']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Bulgarian', 'Vietnamese', 'Greek', 'Danish', 'Simplified Chinese', 'Traditional Chinese', 'Korean', 'Norwegian', 'Dutch', 'Polish', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Russian', 'Romanian', 'Thai', 'Turkish', 'Hungarian', 'Ukrainian', 'Finnish', 'Czech', 'Swedish', 'Japanese', 'Indonesian', 'Spanish - Latin America', 'Azerbaijani', 'Albanian', 'Amharic', 'Assamese', 'Afrikaans', 'Basque', 'Bangla', 'Bosnian', 'Belarusian', 'Valencian', 'Welsh', 'Wolof', 'Armenian', 'Galician', 'Georgian', 'Gujarati', 'Hindi', 'Dari', 'Estonian', 'Zulu', 'Yoruba', 'Kazakh', 'Kannada', 'Catalan', 'Quechua', 'Kyrgyz', 'Konkani', 'Khmer', 'Xhosa', ""K'iche'"", 'Latvian', 'Lithuanian', 'Luxembourgish', 'Macedonian', 'Malay', 'Malayalam', 'Maltese', 'Maori', 'Marathi', 'Mongolian', 'Nepali', 'Odia', 'Punjabi (Shahmukhi)', 'Punjabi (Gurmukhi)', 'Persian', 'Kinyarwanda', 'Serbian', 'Sotho', 'Sinhala', 'Sindhi', 'Scots', 'Slovak', 'Slovenian', 'Sorani', 'Swahili', 'Tajik', 'Tamil', 'Tatar', 'Telugu', 'Tigrinya', 'Tswana', 'Turkmen', 'Uzbek', 'Uyghur', 'Urdu', 'Filipino', 'Hausa', 'Croatian', 'Cherokee', 'Hebrew', 'Irish', 'Icelandic', 'Igbo']",2024-10-17
3263050,Cenk The Chopper Playtest,,,,,2024-10-08
3262270,The Laser Games Playtest,,,,,2024-10-08
3261860,CAIGE: Cum Overflow,['Zapt5454'],['Zapt5454'],"['Casual', 'Free To Play']",['English'],2024-10-18
3261870,Multiplayer Ninjas,['Archor Wright'],['Archor Games'],"['Action', 'Indie']",['English'],2024-10-15
3262150,Formicarium Playtest,,,,,2024-10-04
3262200,JetpackPush,['SeikaGames'],['SeikaGames'],"['Casual', 'Indie', 'Strategy']","['English', 'French', 'Italian', 'German', 'Simplified Chinese', 'Korean', 'Spanish - Latin America', 'Japanese', 'Portuguese - Brazil', 'Russian']",2024-10-15
3261370,Pogo Knight,['Jimzzy'],['Jimzzy'],"['Action', 'Adventure', 'Indie']",['English'],2024-10-22
3260870,Sexy Memory Puzzle - Pool Massage,['EroticGamesClub'],['EroticGamesClub'],"['Casual', 'Indie']",['English'],2024-10-12
3260920,Sexy Memory Puzzle - Gay BDSM,['EroticGamesClub'],['EroticGamesClub'],"['Casual', 'Indie']",['English'],2024-10-20
3260490,Cowgirl Trainer,['Noxurtica'],['Noxurtica'],"['Indie', 'RPG', 'Free To Play']",['English'],2024-10-19
3259810,Voodoo Pin,['Type-B'],['Type-B'],"['Casual', 'Indie', 'Sports']","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Russian', 'Bulgarian', 'Hungarian', 'Turkish', 'Greek', 'Norwegian', 'Czech', 'Japanese', 'Polish', 'Thai', 'Swedish', 'Simplified Chinese', 'Traditional Chinese', 'Romanian', 'Finnish', 'Dutch', 'Portuguese - Brazil', 'Portuguese - Portugal', 'Arabic', 'Korean']",2024-10-19
3259940,舒舒服服小岛时光 Playtest,,,,,2024-10-10
3260050,Shop Simulator Pet Shop Playtest,,,,,2024-10-12
3258800,Niva,['Stellar Vault'],['Creajeux'],"['Action', 'Adventure', 'Indie', 'Free To Play']","['English', 'French']",2024-10-18
3259020,Sculplings Playtest,,,,,2024-10-04
3258140,Mystic Warfare Playtest,,,,,2024-09-30
3256980,Guitar Fretter,['Rob Stenzinger'],['Rob Stenzinger'],"['Action', 'Casual', 'Indie']",['English'],2024-10-17
3256370,魔法符石 Playtest,,,,,2024-10-15
3256170,异兔传说 Playtest,,,,,2024-09-30
3255400,Zone Meditation,"['Kevin Wacknov', 'Stuart Heller PhD 7th Dan']",['Mind Body Aware Games LLC'],"['Casual', 'Free To Play', 'Education']",['English'],2024-10-11
3255440,Left to Float,['Chris Antoni'],['Chris Antoni'],['Indie'],['English'],2024-10-15
3255520,Bombseeker Playtest,,,,,2024-10-03
3198310,Orendale Playtest,,,,,2024-09-04
2230230,Justice Seeker: Unsafe Data Playtest,,,,,2022-12-08
3255600,Poly Fire,['Abdalrahman Hamid'],['Abdalrahman'],['Action'],['English'],2024-10-16
